"Feature","Gain","Cover","Frequency"
"ENSG00000132746",0.000617746801115675,0.00113895003275213,0.0027919962773383
"ENSG00000230937",0.000613605295750121,0.000764225411429521,0.00139599813866915
"ENSG00000249242",0.000610744664027205,0.00214037438756519,0.00139599813866915
"ENSG00000204385",0.000610380907606358,0.000734053651794392,0.00186133085155886
"ENSG00000172551",0.000608910568793888,0.00149841716783252,0.00186133085155886
"ENSG00000124107",0.00060506488524016,0.00141968091053148,0.000930665425779432
"ENSG00000168243",0.000604168440742632,0.000942908672934575,0.00186133085155886
"ENSG00000115255",0.000601311567696854,0.000598919678143826,0.00139599813866915
"ENSG00000253755",0.00059773247179943,0.00119810893744772,0.00186133085155886
"ENSG00000166509",0.000597630430675633,0.000688505582929195,0.0027919962773383
"ENSG00000110169",0.000597559155020266,0.000619719606014766,0.00139599813866915
"ENSG00000133063",0.000589899667063355,0.00199023611945484,0.00372266170311773
"ENSG00000282651",0.00057688194122757,0.0014557054856343,0.0027919962773383
"ENSG00000224559",0.000570848603171545,0.00194536682389501,0.00232666356444858
"ENSG00000211895",0.00056720637541922,0.00123030671338287,0.00139599813866915
"ENSG00000153446",0.000563487129588123,0.00104419050758989,0.000930665425779432
"ENSG00000223573",0.000560543980980991,0.00285339450260227,0.0027919962773383
"ENSG00000144452",0.00055496965396922,0.00129218275997214,0.000930665425779432
"ENSG00000115221",0.000554420295463378,0.00112737527581757,0.00372266170311773
"ENSG00000158258",0.000547718574125458,0.00154164559746676,0.0027919962773383
"ENSG00000184956",0.000527206568114025,0.000917358054986844,0.0027919962773383
"ENSG00000152137",0.000520793638469579,0.000202010045774918,0.000465332712889716
"ENSG00000167757",0.000520458559363196,0.00126628645871745,0.00232666356444858
"ENSG00000211653",0.000516330104959929,0.000625853210084588,0.000930665425779432
"ENSG00000160183",0.00051417394677995,0.000830509055756414,0.00186133085155886
"ENSG00000160180",0.000513034267147969,0.000901886904284724,0.00186133085155886
"ENSG00000183844",0.000512674199799128,0.00121667412547406,0.00232666356444858
"ENSG00000196557",0.000512142938627657,0.00146246104248335,0.00232666356444858
"ENSG00000196208",0.000507283003890161,0.00131378636989785,0.00186133085155886
"ENSG00000242265",0.000507120649919318,0.000531528967510718,0.00139599813866915
"ENSG00000198944",0.00050491740386741,0.000837684590407364,0.00139599813866915
"ENSG00000164764",0.000503139271160377,0.000395508822621622,0.000465332712889716
"ENSG00000100362",0.000500846791328996,0.000883331116048502,0.000930665425779432
"ENSG00000203685",0.000494029107840841,0.00115904124055047,0.000465332712889716
"ENSG00000084628",0.000489417559017581,0.00115419685384786,0.00186133085155886
"ENSG00000179456",0.000487658498116769,0.0018343944684376,0.00465332712889716
"ENSG00000165272",0.000484409191335681,0.000441660104940884,0.000930665425779432
"ENSG00000162366",0.000479377714749893,0.00118909345413697,0.00325732899022801
"ENSG00000184613",0.000475779755861644,0.00135581572374187,0.000465332712889716
"ENSG00000132465",0.000459479069163355,0.000829348000912107,0.00139599813866915
"ENSG00000135218",0.000448928532040758,0.00140209607241001,0.00139599813866915
"ENSG00000140284",0.000448221691923326,0.00144381896899428,0.0027919962773383
"ENSG00000163873",0.000447967041547194,0.000198421766281392,0.000930665425779432
"ENSG00000276644",0.000439669100515232,0.0018396307540819,0.00186133085155886
"ENSG00000007062",0.000437088037805773,0.000875242054359588,0.0027919962773383
"ENSG00000102243",0.000436969743883609,0.00080303190262071,0.00186133085155886
"ENSG00000182795",0.000436251349314233,0.000866602080612886,0.00139599813866915
"ENSG00000068078",0.000421214274185797,0.00051846289772149,0.000465332712889716
"ENSG00000067715",0.000420986560995824,0.000174119994807432,0.000465332712889716
"ENSG00000168306",0.000420554173914634,0.00230484902274161,0.000930665425779432
"ENSG00000211896",0.000415759076357777,0.000337986234594217,0.00186133085155886
"ENSG00000240382",0.000414061337578429,0.00112866618032659,0.00186133085155886
"ENSG00000112936",0.000408937460179653,0.000628895126777722,0.00186133085155886
"ENSG00000189334",0.00040769587863414,0.000861076992442833,0.00186133085155886
"ENSG00000145824",0.000407373572069514,0.00102599841892501,0.0027919962773383
"ENSG00000178538",0.000401047648840311,0.000856764477197522,0.00139599813866915
"ENSG00000175356",0.000401013472720404,0.000646061192198587,0.00186133085155886
"ENSG00000151882",0.000394571308920437,0.000974940385911033,0.00232666356444858
"ENSG00000211965",0.00039151968071478,0.00148597449694407,0.000930665425779432
"ENSG00000135373",0.00038071431920322,0.00139381907517388,0.000930665425779432
"ENSG00000135480",0.000375141767122321,0.000796367029644237,0.00186133085155886
"ENSG00000159184",0.000364404897060841,0.00133926389845194,0.00232666356444858
"ENSG00000188257",0.000362745058275972,0.0012922565121715,0.00232666356444858
"ENSG00000100867",0.000362744257816952,0.000469227881694099,0.000930665425779432
"ENSG00000168004",0.000360323286911541,0.000745924923903005,0.00232666356444858
"ENSG00000211897",0.00035575980043206,0.000237425894085241,0.000465332712889716
"ENSG00000169083",0.000345943910677207,0.000783287221700228,0.00139599813866915
"ENSG00000130487",0.000338664049111283,0.000752417527649115,0.000930665425779432
"ENSG00000105707",0.000330225923343081,0.00044200126911798,0.000930665425779432
"ENSG00000134258",0.000329724105142527,0.000662358138564272,0.00186133085155886
"ENSG00000146197",0.000328960188816696,0.00097111798536309,0.00139599813866915
"ENSG00000167614",0.000323222776980195,0.000661500287206215,0.00186133085155886
"ENSG00000229807",0.000323159645125295,0.000762623952316334,0.00186133085155886
"ENSG00000101210",0.000322416505931424,0.000762095997438249,0.00232666356444858
"ENSG00000121005",0.000318480683731504,0.00108867682195763,0.00232666356444858
"ENSG00000165949",0.000310454933568987,0.00130223017152326,0.00186133085155886
"ENSG00000153132",0.000310266060042778,0.000401281739873341,0.00139599813866915
"ENSG00000137648",0.000308248694496395,0.000314829158714461,0.000465332712889716
"ENSG00000241351",0.00030470669813443,0.000283386921037285,0.000930665425779432
"ENSG00000077327",0.000303907178783481,0.00116902056387833,0.00232666356444858
"ENSG00000137077",0.000296685472305505,0.00125038538812773,0.00232666356444858
"ENSG00000137745",0.000296530044045316,0.000408834651995354,0.000465332712889716
"ENSG00000133169",0.00029203285645425,0.000449336539945808,0.000930665425779432
"ENSG00000167676",0.00028886916398576,0.000762713190067355,0.00186133085155886
"ENSG00000137975",0.00028497472203693,0.000402524741605824,0.000930665425779432
"ENSG00000154198",0.000281302076841837,0.000502511905810557,0.000930665425779432
"ENSG00000203697",0.000280683374223046,0.000164946462461616,0.000465332712889716
"ENSG00000186832",0.000279404084097166,0.00105092979557143,0.00186133085155886
"ENSG00000157765",0.000278291741880854,0.000919224877405564,0.00186133085155886
"ENSG00000130294",0.000277769720790681,0.00124848626899426,0.00232666356444858
"ENSG00000183044",0.000277421434110464,0.000986484111487202,0.00139599813866915
"ENSG00000169245",0.00027316553271015,0.000266617815983553,0.000930665425779432
"ENSG00000141424",0.000271778163215255,0.00100351677219452,0.00232666356444858
"ENSG00000170373",0.000268546518736461,0.000179783006820892,0.000930665425779432
"ENSG00000244731",0.0002677793483707,0.000591647855899269,0.00139599813866915
"ENSG00000235584",0.000263001286669948,0.000691408370677625,0.000465332712889716
"ENSG00000161634",0.000262977603523719,0.000801565535362884,0.000930665425779432
"ENSG00000243466",0.00026120519583881,0.000373887678472045,0.00139599813866915
"ENSG00000162989",0.000257271270378742,0.000885154795840801,0.00325732899022801
"ENSG00000198300",0.000251111459797521,0.00126329756648137,0.000930665425779432
"ENSG00000185499",0.00024945115117801,0.000544400955736112,0.000465332712889716
"ENSG00000180818",0.000248987737609144,0.000292689188329122,0.00139599813866915
"ENSG00000012223",0.000246119257907573,0.000800458167781345,0.00232666356444858
"ENSG00000143546",0.000238355466660069,0.00111700296895686,0.00232666356444858
"ENSG00000135069",0.000238049082269433,0.000803951816695547,0.00232666356444858
"ENSG00000244437",0.000235288316509932,0.000936315141954867,0.000465332712889716
"ENSG00000160867",0.000235121316396516,0.000576531426763834,0.000930665425779432
"ENSG00000178445",0.000233652456693105,0.000692600517135387,0.00232666356444858
"ENSG00000162078",0.000231300064244188,0.000347308386057449,0.000930665425779432
"ENSG00000058085",0.000230064729759288,0.000859288381098269,0.000465332712889716
"ENSG00000130513",0.000227181963604335,0.000620594810831495,0.00139599813866915
"ENSG00000151892",0.000222851950139516,0.000678507098490721,0.00139599813866915
"ENSG00000073282",0.000222509231869875,0.00254002068446877,0.000465332712889716
"ENSG00000233622",0.00021845927465444,0.000132312439857067,0.000465332712889716
"ENSG00000211955",0.000215755776517453,0.000516102887597095,0.00139599813866915
"ENSG00000187045",0.000215244422413788,0.000322730043835896,0.000930665425779432
"ENSG00000179862",0.00021409534608896,0.000108121289150261,0.000465332712889716
"ENSG00000198732",0.000213807407058356,0.000618394777904237,0.00139599813866915
"ENSG00000189377",0.000210186756897012,0.00053699398138113,0.00186133085155886
"ENSG00000126010",0.000206235517160311,0.000704093628457095,0.000930665425779432
"ENSG00000171236",0.000200913891580972,0.000304502344427701,0.000465332712889716
"ENSG00000070193",0.000197597346242184,0.000309634659957627,0.000465332712889716
"ENSG00000128422",0.000194378978942356,0.00118140117204999,0.000930665425779432
"ENSG00000162896",0.00018927359910746,0.00022043610485655,0.000930665425779432
"ENSG00000124935",0.000189106564191477,0.000686499812330965,0.00232666356444858
"ENSG00000125740",0.000187129552220483,0.000634408103679742,0.000930665425779432
"ENSG00000111052",0.000187127063837007,0.000668887919685384,0.000930665425779432
"ENSG00000105852",0.000184912402543419,0.0010267599224344,0.00186133085155886
"ENSG00000276775",0.000184840013205937,0.00023504532191997,0.000465332712889716
"ENSG00000196611",0.000182357493962383,0.000286456675570373,0.000930665425779432
"ENSG00000183778",0.00017959608435541,0.000734667831670256,0.00232666356444858
"ENSG00000162670",0.000179350221627217,0.000626845791767616,0.00139599813866915
"ENSG00000145451",0.000177995427334189,0.000203886734960505,0.000930665425779432
"ENSG00000144891",0.000175782018932981,0.000944391550080167,0.000930665425779432
"ENSG00000268104",0.000173946966629096,0.000333842493785508,0.000930665425779432
"ENSG00000186526",0.000173376221946387,0.000486900752465293,0.00139599813866915
"ENSG00000006071",0.000168261323609665,0.000310602567191605,0.000930665425779432
"ENSG00000136457",0.000167131145078228,0.000229413356328666,0.000930665425779432
"ENSG00000211659",0.000165997886519691,0.000194631722703265,0.000465332712889716
