"miRNA","mRNA","correlation"
"hsa-mir-190b","ENSG00000253125",0.494083040594426
"hsa-let-7c","ENSG00000105974",0.493969231769138
"hsa-mir-100","ENSG00000177363",0.493934324332032
"hsa-mir-100","ENSG00000154721",0.493768867908833
"hsa-mir-889","ENSG00000160801",0.493697613447713
"hsa-mir-190b","ENSG00000099812",0.493630004520584
"hsa-mir-190b","ENSG00000230873",0.493581962248122
"hsa-mir-190b","ENSG00000183248",0.493578727707649
"hsa-let-7c","ENSG00000103647",0.493531630432459
"hsa-let-7c","ENSG00000180660",0.492915347878442
"hsa-mir-190b","ENSG00000158186",-0.492824914180485
"hsa-mir-190b","ENSG00000167964",0.492720713151302
"hsa-mir-135b","ENSG00000117472",-0.49207231020014
"hsa-mir-654","ENSG00000149451",0.492038411363293
"hsa-mir-592","ENSG00000179603",0.491981685569019
"hsa-mir-379","ENSG00000189129",0.491377190421534
"hsa-mir-99a","ENSG00000231246",0.491176327060067
"hsa-let-7c","ENSG00000187260",0.491149762913172
"hsa-mir-99a","ENSG00000182916",0.490748592977314
"hsa-mir-577","ENSG00000108176",-0.490712325051224
"hsa-mir-758","ENSG00000149380",0.490606640471919
"hsa-mir-5683","ENSG00000005102",0.49025437769284
"hsa-let-7c","ENSG00000141338",0.490080672378876
"hsa-mir-449a","ENSG00000141294",0.48985331183365
"hsa-mir-449a","ENSG00000112539",0.489674491466702
"hsa-let-7c","ENSG00000241684",0.489621106401476
"hsa-mir-99a","ENSG00000180139",0.489543889538221
"hsa-let-7c","ENSG00000128918",0.4894114251455
"hsa-mir-99a","ENSG00000149575",0.489367085142838
"hsa-mir-577","ENSG00000183674",0.489113765984162
"hsa-mir-139","ENSG00000168874",0.488941620001676
"hsa-mir-190b","ENSG00000026559",-0.488860088459749
"hsa-mir-337","ENSG00000144642",0.48866656676771
"hsa-mir-577","ENSG00000115507",0.488663598518422
"hsa-mir-758","ENSG00000177363",0.488428038445293
"hsa-mir-99a","ENSG00000106809",0.488411726167872
"hsa-mir-449a","ENSG00000165309",0.488194670323627
"hsa-mir-337","ENSG00000183722",0.488094708755807
"hsa-let-7c","ENSG00000154263",0.488087299925807
"hsa-mir-223","ENSG00000213088",0.488036193785444
"hsa-mir-204","ENSG00000119147",0.487955279227418
"hsa-mir-139","ENSG00000156298",0.487363137965968
"hsa-mir-889","ENSG00000189129",0.487269802347408
"hsa-let-7c","ENSG00000013297",0.487250801730736
"hsa-mir-934","ENSG00000141294",-0.487245483552736
"hsa-mir-99a","ENSG00000234456",0.487226180470035
"hsa-mir-135b","ENSG00000064787",-0.487218303235918
"hsa-mir-139","ENSG00000241644",0.487103565799925
"hsa-mir-190b","ENSG00000224559",0.486779576899285
"hsa-let-7c","ENSG00000156298",0.486697250156267
"hsa-mir-139","ENSG00000138722",0.48667756167889
"hsa-mir-934","ENSG00000103355",0.486651966819692
"hsa-let-7c","ENSG00000180139",0.486515889307865
"hsa-mir-934","ENSG00000286417",0.486450688320362
"hsa-mir-449a","ENSG00000101222",0.486233052449498
"hsa-mir-379","ENSG00000143196",0.486178641013098
"hsa-mir-100","ENSG00000183722",0.486040424977174
"hsa-mir-758","ENSG00000108821",0.485901450646423
"hsa-mir-758","ENSG00000133466",0.48586731741042
"hsa-mir-577","ENSG00000150667",-0.485812143366432
"hsa-mir-451a","ENSG00000188536",0.485649676465761
"hsa-mir-5683","ENSG00000126895",0.485632062312403
"hsa-let-7c","ENSG00000276409",0.485378459550948
"hsa-mir-379","ENSG00000108821",0.485365853167499
"hsa-mir-577","ENSG00000197308",-0.485307325419966
"hsa-mir-190b","ENSG00000124243",0.48530422680301
"hsa-mir-379","ENSG00000127920",0.485192289261893
"hsa-mir-223","ENSG00000274736",0.485182520932343
"hsa-mir-1269b","ENSG00000249413",0.485127383700693
"hsa-mir-139","ENSG00000135424",0.484959197164002
"hsa-mir-577","ENSG00000110148",0.48493868344893
"hsa-mir-577","ENSG00000154493",0.484922441269393
"hsa-mir-210","ENSG00000078596",-0.484791316392297
"hsa-mir-5683","ENSG00000170323",0.484721817602721
"hsa-mir-190b","ENSG00000136928",-0.484675967415899
"hsa-mir-758","ENSG00000125869",0.484642713820343
"hsa-mir-204","ENSG00000225670",0.484575159980632
"hsa-mir-511","ENSG00000090659",0.484481765484799
"hsa-mir-139","ENSG00000184113",0.484475908563844
"hsa-mir-449b","ENSG00000165309",0.484447799833006
"hsa-mir-577","ENSG00000286417",0.484391245738179
"hsa-let-7c","ENSG00000105894",0.484384548889096
"hsa-mir-934","ENSG00000105173",0.484281381441113
"hsa-mir-577","ENSG00000214530",-0.484180651675094
"hsa-let-7c","ENSG00000182463",0.484040060003883
"hsa-mir-99a","ENSG00000172935",0.483953595573317
"hsa-mir-577","ENSG00000155918",0.483582287877571
"hsa-mir-5683","ENSG00000197245",0.483539099449387
"hsa-mir-577","ENSG00000171428",-0.483422649107312
"hsa-mir-379","ENSG00000144642",0.483331099503465
"hsa-mir-379","ENSG00000103647",0.483271398328349
"hsa-mir-204","ENSG00000249669",0.483238442437569
"hsa-mir-934","ENSG00000287914",-0.483228100546916
"hsa-mir-190b","ENSG00000269516",0.483217844792939
"hsa-let-7c","ENSG00000241644",0.482797663592833
"hsa-mir-139","ENSG00000005102",0.482658372568566
"hsa-mir-150","ENSG00000211897",0.482657697586232
"hsa-mir-135b","ENSG00000286288",0.482444697573486
"hsa-let-7c","ENSG00000225670",0.482440876887172
"hsa-mir-135b","ENSG00000129151",0.482385856675792
"hsa-mir-758","ENSG00000092607",0.482385645627821
"hsa-mir-99a","ENSG00000182463",0.482355693451464
"hsa-mir-381","ENSG00000160801",0.482226952647836
"hsa-let-7c","ENSG00000177098",0.482074098034999
"hsa-mir-99a","ENSG00000180660",0.482013982082325
"hsa-mir-410","ENSG00000172935",0.48180205692332
"hsa-mir-934","ENSG00000261616",0.481743239176638
"hsa-mir-204","ENSG00000013297",0.481702445915228
"hsa-mir-5683","ENSG00000156298",0.481701026685855
"hsa-mir-758","ENSG00000233608",0.481526857995473
"hsa-mir-577","ENSG00000138083",0.481341142299877
